Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",DO41-10_210,14,1N4004,
D15,DIOAD1060W80L520D270,1,1N4007,
GND1,"SMD2,54-5,08_412",1,GND_MODULE,
GROUND-0,"SMD2,54-5,08_412",1,Negative -,
POSITIVE+0,"SMD2,54-5,08_412",1,POSITIVE+,
R1,RESC3115X65N,1,5-2176245-4,
"S1, S10, S11, S12, S13, S14, S2, S3, S4, S5, S6, S7, S8, S9",CHERRY_MX1A-11NN_SWITCH,14,MX1A-11NN,
SOLENOID+1,"SMD2,54-5,08_412",1,Solenoid+1,
SOLENOID-1,"SMD2,54-5,08_412",1,Solenoid-1,
TOUCH_OUT1,"SMD2,54-5,08_412",1,TOUT,
U1,TO220V,1,IRL540N,
U2,MODULE_DM-OLED096-636,1,DM-OLED096-636,
U2(LDO)0,SOT95P285X140-5N,1,AP2112K-3.3TRG1,
U3,XCVR_ESP32-S2-SAOLA-1R,1,ESP32-S2-SAOLA-1R,
UART_RX1,"SMD2,54-5,08_412",1,RX,
UART_TX1,"SMD2,54-5,08_412",1,TX,
VCC_3.3V1,"SMD2,54-5,08_412",1,3.3V,
VCC_MCU1,"SMD2,54-5,08_412",1,VCC_MCU,
